detection_id,video_file_path,start_timestamp,end_timestamp,minimum_detections,maximum_detections
1552515056.3505206,C:\SourceCode\Final-Year-Project\Workspace\Human_detector\test_videos\VID_20190303_200842.mp4,5.58,9.08,1,1
1552515064.2364583,C:\SourceCode\Final-Year-Project\Workspace\Human_detector\test_videos\VID_20190303_200842.mp4,10.5,16.34,1,4
1552515109.237498,C:\SourceCode\Final-Year-Project\Workspace\Human_detector\test_videos\VID_20190303_200932.mp4,3.85,6.18,1,1
1552515114.638975,C:\SourceCode\Final-Year-Project\Workspace\Human_detector\test_videos\VID_20190303_200932.mp4,6.93,12.52,1,1
1552515134.3648248,C:\SourceCode\Final-Year-Project\Workspace\Human_detector\test_videos\VID_20190303_200957.mp4,3.88,7.96,1,2
1552515144.3805847,C:\SourceCode\Final-Year-Project\Workspace\Human_detector\test_videos\VID_20190303_200957.mp4,9.38,13.96,1,2
